fichier,résultat
CdS-b1-04qe,négatif
CdS-b1-04r2,positif
CdS-b1-04qv,positif
CdS-b1-04rq,neutral
CdS-b1-04rs,négatif
CdS-b1-04rx,positif
CdS-b1-04uj,positif
CdS-b1-04ul,négatif
CdS-b1-04uq,neutral
CdS-b1-04uy,neutral
CdS-b1-04v5,positif
CdS-b1-04vh,neutral
CdS-b1-04xq,neutral
CdS-b1-04xj,négatif
CdS-b1-04xm,neutral
CdS-b1-050u,neutral
CdS-b1-050w,neutral
CdS-b1-050p,positif
CdS-b1-050j,négatif
CdS-b1-0511,neutral
CdS-b1-051j,positif
CdS-b1-0527,neutral
CdS-b1-051o,neutral
CdS-b1-052l,neutral
CdS-b1-052e,neutral
CdS-b1-0532,positif
CdS-b1-0545,négatif
CdS-b1-054y,neutral
CdS-b1-0550,positif
CdS-b1-055n,neutral
CdS-b1-055i,neutral
CdS-b1-0555,neutral
CdS-b1-054i,négatif
CdS-b1-054t,positif
CdS-b1-056v,neutral
CdS-b1-0572,neutral
CdS-b1-057g,neutral
CdS-b1-058b,négatif
CdS-b1-058n,neutral
CdS-b1-057l,positif
CdS-b1-0589,neutral
CdS-b1-059a,positif
CdS-b1-058t,neutral
CdS-b1-0595,positif
CdS-b1-05a5,positif
CdS-b1-05aj,neutral
CdS-b1-05b7,neutral
CdS-b1-05av,neutral
CdS-b1-05ao,neutral
CdS-b1-05ac,neutral
CdS-b1-05bd,positif
CdS-b1-05b2,positif
CdS-b1-05cd,positif
CdS-b1-05ck,positif
CdS-b1-05bk,positif
CdS-b1-05bp,positif
CdS-b1-05c8,neutral
CdS-b1-05cw,neutral
CdS-b1-05dr,neutral
CdS-b1-05dt,positif
CdS-b1-05dm,positif
CdS-b1-05dy,positif
CdS-b1-05e5,positif
CdS-b1-05fi,négatif
CdS-b1-05eo,positif
CdS-b1-05eh,positif
CdS-b1-05f6,négatif
CdS-b1-05fn,positif
CdS-b1-05g6,positif
CdS-b1-05gp,négatif
CdS-b1-05gs,neutral
CdS-b1-05gk,positif
CdS-b1-05g1,négatif
CdS-b1-05gd,positif
CdS-b1-05fu,neutral
CdS-b1-05i4,neutral
CdS-b1-05ii,neutral
CdS-b1-05ib,positif
CdS-b1-05jq,neutral
CdS-b1-05jd,négatif
CdS-b1-05j1,positif
CdS-b1-05j6,positif
CdS-b1-05iu,positif
CdS-b1-05jl,positif
CdS-b1-05kl,neutral
CdS-b1-05k4,neutral
CdS-b1-05kg,positif
CdS-b1-05ks,négatif
CdS-b1-05li,neutral
CdS-b1-05mj,positif
CdS-b1-05lu,positif
CdS-b1-05mx,positif
CdS-b1-05pj,positif
CdS-b1-05q8,négatif
CdS-b1-05qr,négatif
CdS-b1-05qw,négatif
CdS-b1-05qd,neutral
CdS-b1-05s6,positif
CdS-b1-05sb,neutral
CdS-b1-05v8,neutral
CdS-b1-05ti,positif
CdS-b1-05u3,positif
CdS-b1-05uw,neutral
CdS-b1-05ul,positif
CdS-b1-05vv,positif
CdS-b1-05vx,positif
CdS-b1-05w2,neutral
CdS-b1-05vd,positif
CdS-b1-05vf,neutral
CdS-b1-05vr,positif
CdS-b1-05w9,neutral
CdS-b1-05vk,positif
CdS-b1-05wl,négatif
CdS-b1-05wq,neutral
CdS-b1-05xv,neutral
CdS-b1-05y0,positif
CdS-b1-05x9,neutral
CdS-b1-05xc,positif
CdS-b1-05x4,positif
CdS-b1-05y7,neutral
CdS-b1-05xt,positif
CdS-b1-05xo,positif
CdS-b1-05ws,négatif
CdS-b1-05xh,négatif
CdS-b1-05yo,neutral
CdS-b1-05yq,positif
CdS-b1-05yv,négatif
CdS-b1-05z7,neutral
CdS-b1-05z9,neutral
CdS-b1-05yj,neutral
CdS-b1-05zq,négatif
CdS-b1-05ze,négatif
CdS-b1-05yc,négatif
CdS-b1-05z2,positif
CdS-b1-05zl,neutral
CdS-b1-05zx,positif
CdS-b1-0615,positif
CdS-b1-0617,positif
CdS-b1-060m,positif
CdS-b1-060o,négatif
CdS-b1-061c,positif
CdS-b1-060t,positif
CdS-b1-060h,négatif
CdS-b1-0602,positif
CdS-b1-0610,neutral
CdS-b1-060a,neutral
CdS-b1-062p,positif
CdS-b1-061v,neutral
CdS-b1-0620,positif
CdS-b1-061j,positif
CdS-b1-061o,neutral
CdS-b1-062i,négatif
CdS-b1-062v,positif
CdS-b1-062e,positif
CdS-b1-0622,neutral
CdS-b1-0627,positif
CdS-b1-063c,négatif
CdS-b1-063e,négatif
CdS-b1-0637,positif
CdS-b1-063q,neutral
CdS-b1-063v,positif
CdS-b1-0647,positif
CdS-b1-0649,positif
CdS-b1-063j,neutral
CdS-b1-064e,positif
CdS-b1-064l,neutral
CdS-b1-0630,positif
CdS-b1-065o,négatif
CdS-b1-065g,neutral
CdS-b1-064s,négatif
CdS-b1-0659,positif
CdS-b1-065l,positif
CdS-b1-064x,négatif
CdS-b1-064q,positif
CdS-b1-065t,positif
CdS-b1-0654,négatif
CdS-b1-0672,négatif
CdS-b1-0677,positif
CdS-b1-066c,négatif
CdS-b1-066o,neutral
CdS-b1-066q,neutral
CdS-b1-066j,positif
CdS-b1-066v,positif
CdS-b1-0660,positif
CdS-b1-0667,positif
CdS-b1-0665,positif
CdS-b1-0684,neutral
CdS-b1-0689,neutral
CdS-b1-068m,neutral
CdS-b1-068o,positif
CdS-b1-067q,neutral
CdS-b1-068h,positif
CdS-b1-067e,neutral
CdS-b1-0682,positif
CdS-b1-067l,négatif
CdS-b1-067x,neutral
CdS-b1-067j,positif
CdS-b1-069h,négatif
CdS-b1-068t,positif
CdS-b1-069c,négatif
CdS-b1-0695,neutral
CdS-b1-0690,positif
CdS-b1-069o,négatif
CdS-b1-06ac,positif
CdS-b1-06av,positif
CdS-b1-06an,négatif
CdS-b1-06be,neutral
CdS-b1-06c2,négatif
CdS-b1-06cg,négatif
CdS-b1-06e5,positif
CdS-b1-06dy,neutral
CdS-b1-07jo,positif
CdS-b1-0801,positif
CdS-b1-081w,positif
CdS-b1-08g6,positif
CdS-b1-08f9,positif
CdS-b1-08h1,positif
CdS-b1-004d,positif
CdS-b1-004k,négatif
CdS-b1-0535,négatif
CdS-b1-05a0,positif
CdS-b1-05fp,négatif
CdS-b1-01lh,neutral
CdS-b1-01n1,positif
CdS-b1-028c,neutral
CdS-b1-04k5,positif
CdS-b1-04hc,positif
CdS-b1-04qo,négatif
CdS-b1-05u9,neutral
CdS-b1-062c,positif
CdS-b1-063o,positif
CdS-b1-0004,positif
CdS-b1-000g,négatif
CdS-b1-0009,positif
CdS-b1-000b,positif
CdS-b1-001p,positif
CdS-b1-003n,positif
CdS-b1-003l,positif
CdS-b1-00dj,neutral
CdS-b1-00kw,neutral
CdS-b1-00m7,positif
CdS-b1-00oh,neutral
CdS-b1-00o5,positif
CdS-b1-00pj,neutral
CdS-b1-00po,positif
CdS-b1-00qx,neutral
CdS-b1-011n,positif
CdS-b1-0113,positif
CdS-b1-011w,positif
CdS-b1-0129,neutral
CdS-b1-0180,positif
CdS-b1-012w,négatif
CdS-b1-013r,positif
CdS-b1-016s,positif
CdS-b1-017b,neutral
CdS-b1-017i,neutral
CdS-b1-016a,neutral
CdS-b1-018v,neutral
CdS-b1-018q,neutral
CdS-b1-018j,négatif
CdS-b1-01c3,positif
CdS-b1-01c6,neutral
CdS-b1-01cd,neutral
CdS-b1-01c0,neutral
CdS-b1-01bv,positif
CdS-b1-01j6,neutral
CdS-b1-01j7,positif
CdS-b1-01k8,positif
CdS-b1-01kf,positif
CdS-b1-01kk,positif
CdS-b1-01k0,neutral
CdS-b1-01k3,positif
CdS-b1-01kr,neutral
CdS-b1-01jv,neutral
CdS-b1-01jc,positif
CdS-b1-01km,négatif
CdS-b1-01jj,neutral
CdS-b1-01jo,positif
CdS-b1-01ly,négatif
CdS-b1-01m0,négatif
CdS-b1-01l3,positif
CdS-b1-01l5,neutral
CdS-b1-01mf,neutral
CdS-b1-01mh,positif
CdS-b1-01lt,négatif
CdS-b1-01m5,positif
CdS-b1-01la,neutral
CdS-b1-01lm,positif
CdS-b1-01ma,positif
CdS-b1-01np,négatif
CdS-b1-01nw,positif
CdS-b1-01o1,positif
CdS-b1-01ni,positif
CdS-b1-01mz,neutral
CdS-b1-01n6,neutral
CdS-b1-01mu,positif
CdS-b1-01nu,positif
CdS-b1-01mm,positif
CdS-b1-01nd,positif
CdS-b1-01pp,positif
CdS-b1-01pr,positif
CdS-b1-01p8,négatif
CdS-b1-01pc,positif
CdS-b1-01oq,positif
CdS-b1-01ou,positif
CdS-b1-01p1,positif
CdS-b1-01oc,négatif
CdS-b1-01oe,positif
CdS-b1-01o7,positif
CdS-b1-01oj,neutral
CdS-b1-01pk,neutral
CdS-b1-01q8,négatif
CdS-b1-01qa,négatif
CdS-b1-01q3,positif
CdS-b1-024h,positif
CdS-b1-02hd,positif
CdS-b1-02i8,négatif
CdS-b1-02h5,neutral
CdS-b1-02hk,positif
CdS-b1-02hp,positif
CdS-b1-02hr,neutral
CdS-b1-02hw,positif
CdS-b1-02i3,neutral
CdS-b1-02ir,positif
CdS-b1-02j5,positif
CdS-b1-02ja,positif
CdS-b1-02j3,positif
CdS-b1-02jh,positif
CdS-b1-032x,positif
CdS-b1-032s,négatif
CdS-b1-03hv,positif
CdS-b1-03il,négatif
CdS-b1-03js,neutral
CdS-b1-03kj,négatif
CdS-b1-03vw,neutral
CdS-b1-045j,positif
CdS-b1-049k,positif
CdS-b1-04a3,positif
CdS-b1-04cu,neutral
CdS-b1-04gg,positif
CdS-b1-04gn,positif
CdS-b1-04gs,positif
CdS-b1-04gu,négatif
CdS-b1-04i2,négatif
CdS-b1-04gz,négatif
CdS-b1-04hv,négatif
CdS-b1-04h7,négatif
CdS-b1-04hx,négatif
CdS-b1-04hq,positif
CdS-b1-04hj,positif
CdS-b1-04he,négatif
CdS-b1-04ix,positif
CdS-b1-04iq,positif
CdS-b1-04is,positif
CdS-b1-04j9,négatif
CdS-b1-04il,positif
CdS-b1-04ie,négatif
CdS-b1-04jb,négatif
CdS-b1-04j4,négatif
CdS-b1-04i9,positif
CdS-b1-04jg,négatif
CdS-b1-04ky,positif
CdS-b1-04kh,négatif
CdS-b1-04jn,négatif
CdS-b1-04ka,négatif
CdS-b1-04km,positif
CdS-b1-04jy,positif
CdS-b1-04kt,négatif
CdS-b1-04js,négatif
CdS-b1-04k3,négatif
CdS-b1-04l0,positif
CdS-b1-04l5,négatif
CdS-b1-04m7,négatif
CdS-b1-04lc,négatif
CdS-b1-04my,positif
CdS-b1-04n3,positif
CdS-b1-04pa,négatif
CdS-b1-04oq,positif
CdS-b1-04o8,positif
CdS-b1-04oa,positif
CdS-b1-04of,positif
CdS-b1-04p2,négatif
CdS-b1-04p7,neutral
CdS-b1-04pf,neutral
CdS-b1-04q3,négatif
CdS-b1-04q5,négatif
CdS-b1-04qt,négatif
CdS-b1-04qa,négatif
CdS-b1-04qh,neutral
CdS-b1-04pr,négatif
CdS-b1-04pm,positif
CdS-b1-04qm,négatif
CdS-b1-04py,négatif
CdS-b1-04r0,négatif
CdS-b1-04rh,positif
CdS-b1-04rj,positif
CdS-b1-04r5,négatif
CdS-b1-04rc,neutral
CdS-b1-04rv,négatif
CdS-b1-04s0,positif
CdS-b1-04s3,positif
CdS-b1-04ro,négatif
CdS-b1-04ut,négatif
CdS-b1-04uw,neutral
CdS-b1-04v1,neutral
CdS-b1-04uo,neutral
CdS-b1-04vr,neutral
CdS-b1-04xh,neutral
CdS-b1-04xc,positif
CdS-b1-04xp,neutral
CdS-b1-04xt,positif
CdS-b1-04xv,négatif
CdS-b1-0504,neutral
CdS-b1-0509,neutral
CdS-b1-050s,positif
CdS-b1-050n,positif
CdS-b1-052c,positif
CdS-b1-0525,négatif
CdS-b1-050z,neutral
CdS-b1-052h,positif
CdS-b1-052j,positif
CdS-b1-053f,neutral
CdS-b1-052o,positif
CdS-b1-0538,positif
CdS-b1-054r,positif
CdS-b1-054w,neutral
CdS-b1-054e,positif
CdS-b1-0558,neutral
CdS-b1-055a,neutral
CdS-b1-054l,positif
CdS-b1-0553,positif
CdS-b1-054a,négatif
CdS-b1-056t,neutral
CdS-b1-055q,positif
CdS-b1-056h,positif
CdS-b1-056o,négatif
CdS-b1-056c,positif
CdS-b1-057c,négatif
CdS-b1-0577,positif
CdS-b1-0570,négatif
CdS-b1-0587,positif
CdS-b1-057j,positif
CdS-b1-059k,positif
CdS-b1-059m,neutral
CdS-b1-0591,positif
CdS-b1-0593,positif
CdS-b1-058e,neutral
CdS-b1-058p,négatif
CdS-b1-0598,neutral
CdS-b1-058w,négatif
CdS-b1-05af,neutral
CdS-b1-05a3,positif
CdS-b1-059r,neutral
CdS-b1-05bn,neutral
CdS-b1-05b0,neutral
CdS-b1-05cb,positif
CdS-b1-05c6,neutral
CdS-b1-05cp,neutral
CdS-b1-05dp,positif
CdS-b1-05d8,neutral
CdS-b1-05ci,positif
CdS-b1-05dk,neutral
CdS-b1-05d1,neutral
CdS-b1-05cu,positif
CdS-b1-05dw,neutral
CdS-b1-05e0,positif
CdS-b1-05fg,positif
CdS-b1-05ek,positif
CdS-b1-05f9,positif
CdS-b1-05e8,positif
CdS-b1-05ef,positif
CdS-b1-05fl,positif
CdS-b1-05g4,positif
CdS-b1-05gb,positif
CdS-b1-05gi,positif
CdS-b1-05fs,positif
CdS-b1-05gv,négatif
CdS-b1-05hx,neutral
CdS-b1-05ig,neutral
CdS-b1-05j9,positif
CdS-b1-05jb,positif
CdS-b1-05kc,positif
CdS-b1-05ke,positif
CdS-b1-05jv,positif
CdS-b1-05kv,neutral
CdS-b1-05k0,positif
CdS-b1-05lq,neutral
CdS-b1-05ls,neutral
CdS-b1-05lx,négatif
CdS-b1-05po,négatif
CdS-b1-05qg,négatif
CdS-b1-05qi,positif
CdS-b1-05ri,négatif
CdS-b1-05se,neutral
CdS-b1-05sg,neutral
CdS-b1-05rp,positif
CdS-b1-05s2,positif
CdS-b1-05tb,positif
CdS-b1-05ru,négatif
CdS-b1-05un,neutral
CdS-b1-05us,neutral
CdS-b1-05uu,positif
CdS-b1-05tn,neutral
CdS-b1-05ts,positif
CdS-b1-05tz,positif
CdS-b1-05uz,positif
CdS-b1-05tg,neutral
CdS-b1-05vn,positif
CdS-b1-05vp,neutral
CdS-b1-05vi,neutral
CdS-b1-05w0,positif
CdS-b1-05wc,positif
CdS-b1-05w5,positif
CdS-b1-05vb,positif
CdS-b1-05w7,neutral
CdS-b1-05wv,neutral
CdS-b1-05x0,négatif
CdS-b1-05xy,positif
CdS-b1-05xk,neutral
CdS-b1-05xm,positif
CdS-b1-05xr,neutral
CdS-b1-05x2,négatif
CdS-b1-05wj,négatif
CdS-b1-05wo,neutral
CdS-b1-05yy,négatif
CdS-b1-05z0,négatif
CdS-b1-05zc,positif
CdS-b1-05ym,positif
CdS-b1-05ya,neutral
CdS-b1-05yt,neutral
CdS-b1-05y3,positif
CdS-b1-05y5,positif
CdS-b1-05yh,neutral
CdS-b1-05z5,négatif
CdS-b1-05zh,positif
CdS-b1-060r,positif
CdS-b1-060w,négatif
CdS-b1-05zj,neutral
CdS-b1-0600,négatif
CdS-b1-0603,négatif
CdS-b1-060k,positif
CdS-b1-060f,négatif
CdS-b1-05zo,négatif
CdS-b1-05zv,positif
CdS-b1-0608,positif
CdS-b1-061m,neutral
CdS-b1-060y,positif
CdS-b1-0613,négatif
CdS-b1-061a,neutral
CdS-b1-061h,positif
CdS-b1-061f,neutral
CdS-b1-061t,neutral
CdS-b1-061y,neutral
CdS-b1-0625,neutral
CdS-b1-062a,neutral
CdS-b1-062y,positif
CdS-b1-0633,neutral
CdS-b1-0635,négatif
CdS-b1-063a,positif
CdS-b1-062n,négatif
CdS-b1-062s,positif
CdS-b1-063m,neutral
CdS-b1-062g,positif
CdS-b1-063h,positif
CdS-b1-063t,positif
CdS-b1-0640,positif
CdS-b1-065j,neutral
CdS-b1-065m,neutral
CdS-b1-064h,positif
CdS-b1-064j,neutral
CdS-b1-065e,positif
CdS-b1-0650,positif
CdS-b1-0652,positif
CdS-b1-0657,négatif
CdS-b1-064c,neutral
CdS-b1-0645,positif
CdS-b1-064v,négatif
CdS-b1-064o,positif
CdS-b1-066y,positif
CdS-b1-0670,neutral
CdS-b1-066t,neutral
CdS-b1-065y,positif
CdS-b1-066h,neutral
CdS-b1-066m,neutral
CdS-b1-0663,positif
CdS-b1-066a,positif
CdS-b1-065r,positif
CdS-b1-066f,positif
CdS-b1-068c,négatif
CdS-b1-068f,positif
CdS-b1-067c,positif
CdS-b1-067t,positif
CdS-b1-067o,négatif
CdS-b1-0675,négatif
CdS-b1-067v,positif
CdS-b1-0680,neutral
CdS-b1-067h,positif
CdS-b1-0687,négatif
CdS-b1-069f,positif
CdS-b1-068r,négatif
CdS-b1-068k,positif
CdS-b1-069m,neutral
CdS-b1-0693,positif
CdS-b1-069a,neutral
CdS-b1-06aq,négatif
CdS-b1-06b5,neutral
CdS-b1-06ay,négatif
CdS-b1-07zq,positif
CdS-b1-08fc,positif
CdS-b1-08h6,positif
CdS-b1-08hd,positif
CdS-b1-004n,positif
CdS-b1-05cn,positif
CdS-b1-007a,positif
CdS-b1-04pq,neutral
CdS-b1-04q2,neutral
CdS-b1-04xs,neutral
CdS-b1-0549,négatif
CdS-b1-059j,neutral
CdS-b1-05fd,neutral
CdS-b1-05xx,neutral
CdS-b1-0003,négatif
CdS-b1-000a,positif
CdS-b1-0008,positif
CdS-b1-000f,positif
CdS-b1-003k,positif
CdS-b1-0043,neutral
CdS-b1-00kv,négatif
CdS-b1-00m4,neutral
CdS-b1-00m6,neutral
CdS-b1-00o9,neutral
CdS-b1-00pg,neutral
CdS-b1-00pn,négatif
CdS-b1-00r1,positif
CdS-b1-00th,neutral
CdS-b1-00uo,positif
CdS-b1-0127,neutral
CdS-b1-012d,positif
CdS-b1-016e,neutral
CdS-b1-012v,neutral
CdS-b1-015p,positif
CdS-b1-011t,positif
CdS-b1-018u,positif
CdS-b1-018b,neutral
CdS-b1-018n,négatif
CdS-b1-017n,neutral
CdS-b1-01ag,positif
CdS-b1-01c2,positif
CdS-b1-01bu,positif
CdS-b1-01bz,neutral
CdS-b1-01ep,positif
CdS-b1-01jz,neutral
CdS-b1-01k2,positif
CdS-b1-01jg,négatif
CdS-b1-01ji,neutral
CdS-b1-01k7,positif
CdS-b1-01kl,négatif
CdS-b1-01kq,neutral
CdS-b1-01ke,positif
CdS-b1-01kj,positif
CdS-b1-01jb,neutral
CdS-b1-01jn,négatif
CdS-b1-01ju,neutral
CdS-b1-01lx,positif
CdS-b1-01lz,neutral
CdS-b1-01ml,neutral
CdS-b1-01mq,positif
CdS-b1-01le,positif
CdS-b1-01lg,positif
CdS-b1-01ls,positif
CdS-b1-01l2,neutral
CdS-b1-01m4,positif
CdS-b1-01me,neutral
CdS-b1-01na,positif
CdS-b1-01nc,positif
CdS-b1-01nh,positif
CdS-b1-01nv,positif
CdS-b1-01o0,positif
CdS-b1-01no,positif
CdS-b1-01nt,positif
CdS-b1-01mt,positif
CdS-b1-01my,neutral
CdS-b1-01on,positif
CdS-b1-01op,neutral
CdS-b1-01po,positif
CdS-b1-01pv,positif
CdS-b1-01p0,positif
CdS-b1-01pj,positif
CdS-b1-01p5,positif
CdS-b1-01p7,neutral
CdS-b1-01ob,positif
CdS-b1-01oi,neutral
CdS-b1-01q2,positif
CdS-b1-023q,neutral
CdS-b1-02h4,positif
CdS-b1-02hq,positif
CdS-b1-02ie,neutral
CdS-b1-02il,positif
CdS-b1-02hc,neutral
CdS-b1-02hj,positif
CdS-b1-02i7,positif
CdS-b1-02hv,positif
CdS-b1-02ij,positif
CdS-b1-02i2,neutral
CdS-b1-02j4,positif
CdS-b1-02ix,positif
CdS-b1-02iq,positif
CdS-b1-02j9,positif
CdS-b1-02jg,positif
CdS-b1-02od,neutral
CdS-b1-02xq,positif
CdS-b1-0307,négatif
CdS-b1-032w,positif
CdS-b1-032r,positif
CdS-b1-032k,positif
CdS-b1-03ld,positif
CdS-b1-03qb,positif
CdS-b1-03vt,positif
CdS-b1-03vv,positif
CdS-b1-03vh,neutral
CdS-b1-03vo,neutral
CdS-b1-042v,négatif
CdS-b1-045z,neutral
CdS-b1-049o,positif
CdS-b1-04b0,neutral
CdS-b1-04gr,négatif
CdS-b1-04gt,négatif
CdS-b1-04gf,positif
CdS-b1-04gm,négatif
CdS-b1-04h6,négatif
CdS-b1-04i1,positif
CdS-b1-04hi,positif
CdS-b1-04hb,positif
CdS-b1-04hd,négatif
CdS-b1-04gy,négatif
CdS-b1-04hp,positif
CdS-b1-04hu,positif
CdS-b1-04i6,positif
CdS-b1-04i8,positif
CdS-b1-04jk,positif
CdS-b1-04jm,négatif
CdS-b1-04ip,négatif
CdS-b1-04iw,positif
CdS-b1-04ik,positif
CdS-b1-04j8,négatif
CdS-b1-04jf,négatif
CdS-b1-04ir,négatif
CdS-b1-04id,positif
CdS-b1-04j3,négatif
CdS-b1-04ks,négatif
CdS-b1-04jr,négatif
CdS-b1-04kl,négatif
CdS-b1-04k2,négatif
CdS-b1-04jx,positif
CdS-b1-04k9,négatif
CdS-b1-04kg,positif
CdS-b1-04ke,négatif
CdS-b1-04kx,positif
CdS-b1-04kz,négatif
CdS-b1-04m6,positif
CdS-b1-04l4,positif
CdS-b1-04lb,positif
CdS-b1-04o7,positif
CdS-b1-04o9,positif
CdS-b1-04mx,positif
CdS-b1-04n9,négatif
CdS-b1-04pj,positif
CdS-b1-04pl,négatif
CdS-b1-04p6,négatif
CdS-b1-04px,négatif
CdS-b1-04pe,positif
CdS-b1-04oe,positif
CdS-b1-04p1,négatif
CdS-b1-04oz,positif
CdS-b1-04on,négatif
CdS-b1-04qz,négatif
CdS-b1-04qg,positif
CdS-b1-04qx,négatif
CdS-b1-04q4,négatif
CdS-b1-04qs,positif
CdS-b1-04rb,négatif
CdS-b1-04ql,négatif
CdS-b1-04r4,négatif
CdS-b1-04q9,positif
CdS-b1-04rz,négatif
CdS-b1-04rn,négatif
CdS-b1-04ru,négatif
CdS-b1-04rg,négatif
CdS-b1-04ri,négatif
CdS-b1-04v0,négatif
CdS-b1-04un,positif
CdS-b1-04uv,négatif
CdS-b1-04us,positif
CdS-b1-04w2,positif
CdS-b1-04xl,négatif
CdS-b1-04xg,neutral
CdS-b1-0501,négatif
CdS-b1-050l,neutral
CdS-b1-050m,neutral
CdS-b1-050r,positif
CdS-b1-050g,négatif
CdS-b1-0513,neutral
CdS-b1-050y,neutral
CdS-b1-051s,neutral
CdS-b1-051l,neutral
CdS-b1-0524,négatif
CdS-b1-051x,positif
CdS-b1-051z,neutral
CdS-b1-0537,neutral
CdS-b1-052n,positif
CdS-b1-053e,positif
CdS-b1-052g,positif
CdS-b1-0552,positif
CdS-b1-0557,positif
CdS-b1-054p,positif
CdS-b1-054d,positif
CdS-b1-054v,positif
CdS-b1-055s,positif
CdS-b1-0564,neutral
CdS-b1-055x,neutral
CdS-b1-056g,positif
